timebounds,ssp126,ssp245,ssp370,ssp585
2032.0,-0.1907548973107717,-0.1962301150617034,-0.1988896059549442,-0.20105887452023433
2033.0,-0.19077694585275004,-0.19705832272228133,-0.19993223035223404,-0.20236703439614318
2034.0,-0.1907815751879659,-0.1978648396318075,-0.20096408217987427,-0.2036415835272133
2035.0,-0.19076878531641922,-0.198649665790282,-0.20198516143786494,-0.2048825219134447
2036.0,-0.19073857623811005,-0.19941280119770477,-0.20299546812620606,-0.2060898495548374
2037.0,-0.19069094795303837,-0.20015424585407582,-0.2039950022448976,-0.20726356645139135
2038.0,-0.1906259004612042,-0.20087399975939518,-0.2049837637939396,-0.2084036726031066
2039.0,-0.19054343376260752,-0.2015720629136628,-0.20596175277333198,-0.20951016800998315
2040.0,-0.19044354785724832,-0.20224843531687872,-0.20692896918307482,-0.21058305267202101
2041.0,-0.1903262427451266,-0.20290311696904292,-0.2078854130231681,-0.21162232658922012
2042.0,-0.1901674716408223,-0.20350748267395927,-0.20883360552314323,-0.21261977384386854
2043.0,-0.18996723454433534,-0.20406153243162775,-0.20977354668300024,-0.21357539443596624
2044.0,-0.18972553145566579,-0.20456526624204835,-0.21070523650273912,-0.21448918836551323
2045.0,-0.18944236237481363,-0.20501868410522106,-0.21162867498235982,-0.2153611556325095
2046.0,-0.1891177273017788,-0.2054217860211459,-0.2125438621218624,-0.21619129623695507
2047.0,-0.18875162623656142,-0.20577457198982288,-0.21345079792124685,-0.21697961017884995
2048.0,-0.1883440591791614,-0.206077042011252,-0.21434948238051316,-0.2177260974581941
2049.0,-0.18789502612957873,-0.20632919608543324,-0.2152399154996613,-0.21843075807498755
2050.0,-0.18740452708781347,-0.2065310342123666,-0.2161220972786913,-0.2190935920292303
